timestamp,setting,bitrate_kbps,jitter_ms,packets_lost,packets_received,packet_loss_pct
2026-08-14T06:08:08.190431,local_test,262.6,0.4,0,15155,0.0
2026-08-14T06:08:10.191317,local_test,276.0,0.13,0,15466,0.0
2026-08-14T06:08:12.191601,local_test,256.5,0.17,0,15776,0.0
2026-08-14T06:08:14.192433,local_test,264.5,0.14,0,16086,0.0
2026-08-14T06:08:16.194339,local_test,259.6,0.11,0,16396,0.0
2026-08-14T06:08:18.195606,local_test,262.7,0.11,0,16706,0.0
2026-08-14T06:08:20.197442,local_test,172.3,0.14,0,16905,0.0
2026-08-14T06:08:22.199154,local_test,0.0,0.14,0,16905,0.0
2026-08-14T06:08:24.200654,local_test,0.0,0.14,0,16905,0.0
2026-08-16T04:42:54.291150,local_test,0.0,0.0,0,0,
2026-08-16T04:42:59.879623,local_test,0.0,0.0,0,0,
2026-08-16T04:43:01.881483,local_test,0.0,0.0,0,0,
2026-08-16T04:43:03.881534,local_test,68.7,0.12,0,95,0.0
2026-08-16T04:43:05.882036,local_test,243.0,0.13,0,405,0.0
2026-08-16T04:43:07.882304,local_test,266.8,0.12,0,715,0.0
2026-08-16T04:43:09.882608,local_test,275.8,0.08,0,1025,0.0
2026-08-16T04:43:11.882882,local_test,255.5,0.1,0,1325,0.0
2026-08-16T04:43:13.884523,local_test,270.4,0.17,0,1644,0.0
2026-08-16T04:43:15.886645,local_test,271.4,0.3,0,1954,0.0
2026-08-16T04:43:17.888028,local_test,267.6,0.2,0,2264,0.0
2026-08-16T04:43:19.889818,local_test,259.6,0.08,0,2574,0.0
2026-08-16T04:43:21.890431,local_test,273.4,0.34,0,2884,0.0
2026-08-16T04:43:23.891570,local_test,266.8,0.12,0,3194,0.0
2026-08-16T04:43:25.891591,local_test,254.4,0.07,0,3504,0.0
2026-08-16T04:43:27.892701,local_test,263.2,0.46,0,3813,0.0
2026-08-16T04:43:29.893332,local_test,264.4,0.24,0,4118,0.0
2026-08-16T04:43:35.480201,local_test,94.3,0.11,0,4433,0.0
2026-08-16T04:43:37.481414,local_test,259.7,0.21,0,4743,0.0
2026-08-16T04:43:39.481813,local_test,278.1,0.29,0,5054,0.0
2026-08-16T04:43:41.482504,local_test,260.1,0.27,0,5363,0.0
2026-08-16T04:43:43.483840,local_test,261.2,0.4,0,5673,0.0
2026-08-16T04:43:45.485759,local_test,274.7,0.38,0,5983,0.0
2026-08-16T04:43:47.487498,local_test,260.7,0.35,0,6293,0.0
2026-08-16T04:43:49.489325,local_test,258.5,0.08,0,6603,0.0
2026-08-16T04:43:51.496562,local_test,256.7,1.95,0,6911,0.0
2026-08-16T04:43:53.498285,local_test,285.2,0.1,0,7228,0.0
2026-08-16T04:43:55.500068,local_test,260.4,0.12,0,7538,0.0
2026-08-16T04:43:57.501743,local_test,260.7,0.19,0,7848,0.0
2026-08-16T04:43:59.503389,local_test,278.2,0.09,0,8158,0.0
2026-08-16T04:44:01.504735,local_test,259.0,0.26,0,8468,0.0
2026-08-16T04:44:03.505718,local_test,256.0,0.09,0,8778,0.0
2026-08-16T04:44:05.506481,local_test,265.7,0.08,0,9087,0.0
2026-08-16T04:44:11.087892,local_test,96.2,0.3,0,9397,0.0
2026-08-16T04:44:13.089208,local_test,257.6,0.52,0,9707,0.0
2026-08-16T04:44:15.090968,local_test,261.9,0.09,0,10017,0.0
